time,pos_x,pos_y,vel_x,vel_y
9083.000000,3500768.670952,-5462953.087027,6705.617430,3827.738368
9084.000000,3507469.180068,-5459117.377129,6700.509116,3835.709898
9085.000000,3514164.572016,-5455273.702737,6695.391948,3843.674393
9086.000000,3520854.837952,-5451422.070892,6690.265936,3851.631845
9087.000000,3527539.969043,-5447562.488645,6685.131091,3859.582247
9088.000000,3534219.956464,-5443694.963055,6679.987421,3867.525590
9089.000000,3540894.791402,-5439819.501189,6674.834938,3875.461866
9090.000000,3547564.465054,-5435936.110122,6669.673652,3883.391067
9091.000000,3554228.968626,-5432044.796937,6664.503572,3891.313185
9092.000000,3560888.293334,-5428145.568724,6659.324708,3899.228213
9093.000000,3567542.430405,-5424238.432584,6654.137071,3907.136141
9094.000000,3574191.371076,-5420323.395622,6648.940671,3915.036962
9095.000000,3580835.106593,-5416400.464954,6643.735517,3922.930668
9096.000000,3587473.628213,-5412469.647703,6638.521620,3930.817251
